year,quarter,US_avg_current,US_avg_inflation_adj
1995,1,296.895553,575.7622121
1995,2,296.4627237,569.8862812
1995,3,287.5148395,550.2755667
1995,4,287.7762923,548.1463892
1996,1,283.9696918,536.0101978
1996,2,275.447988,514.831998
1996,3,269.4890453,501.0270003
1996,4,278.3278255,513.7598017
1997,1,283.4035233,519.6319341
1997,2,289.1860771,528.1382582
1997,3,282.271787,513.4807541
1997,4,293.5119676,531.8335056
1998,1,304.7424348,550.7047785
1998,2,300.8118317,540.7072654
1998,3,315.2541555,564.4708616
1998,4,316.1811383,564.1741086
1999,1,331.7425819,589.6633698
1999,2,329.3342218,579.7471236
1999,3,317.2224766,554.9755696
1999,4,317.9332942,552.8033662
2000,1,340.22522,585.7613165
2000,2,339.1003613,577.7053818
2000,3,336.6639757,569.026301
2000,4,340.0776965,571.7135327
2001,1,347.6862466,578.9599348
2001,2,328.527169,541.4073464
2001,3,303.0226819,498.7209005
2001,4,299.8085584,494.8228068
2002,1,320.0193032,526.2995367
2002,2,317.7858551,517.0078399
2002,3,303.3001466,491.3462376
2002,4,308.8519571,498.775169
2003,1,319.185056,510.2984164
2003,2,314.3692323,500.7747824
2003,3,312.3905619,495.1963056
2003,4,315.7727484,500.4673052
2004,1,320.2334309,502.9957159
2004,2,309.3197767,478.9959723
2004,3,296.5368813,457.5864369
2004,4,297.2805762,456.0082458
2005,1,301.3871397,459.4170106
2005,2,306.5974098,461.1918632
2005,3,305.9085383,454.6238039
2005,4,314.764841,465.4213901
2006,1,323.3357824,475.5311487
2006,2,341.5376656,493.9414626
2006,3,330.1230667,474.77355
2006,4,318.1606496,461.5017233
2007,1,317.843617,456.2561075
2007,2,325.3464237,458.3751533
2007,3,327.559021,460.2225586
2007,4,329.7706813,460.0579566
2008,1,333.2942828,459.7473912
2008,2,346.9332166,468.2806144
2008,3,358.9261025,478.8984179
2008,4,345.4205776,474.294174
2009,1,313.8154171,433.0523983
2009,2,301.781745,412.0771607
2009,3,306.9514741,416.3092865
2009,4,319.8526729,432.935787
2010,1,328.1153846,442.3441238
2010,2,340.7695,457.2314118
2010,3,339.7122888,455.3882347
2010,4,334.7768007,447.4525454
2011,1,355.7198069,469.5059182
2011,2,369.7723808,479.691062
2011,3,360.7405045,466.0703853
2011,4,368.3850348,476.6717909
2012,1,372.8284954,478.6133734
2012,2,384.7833584,490.6042737
2012,3,366.9658096,466.1983276
2012,4,374.2296539,475.2551294
2013,1,378.338062,477.6528984
2013,2,378.5105288,475.299361
2013,3,391.6382882,489.9321739
2013,4,388.1313278,486.9038232
2014,1,387.3666567,482.2733832
2014,2,402.3135021,495.0365516
2014,3,399.2464964,490.6999646
2014,4,395.3551551,489.8524912
2015,1,390.1281237,486.0161355
2015,2,388.8569046,478.6617434
2015,3,374.1057821,459.2974419
2015,4,365.3888794,450.6226167
2016,1,359.4666866,443.0326125
2016,2,355.2440641,432.7549437
2016,3,349.1074435,423.8692344
2016,4,346.7179327,420.0331216
2017,1,349.4388466,420.0082256
2017,2,355.8725122,425.4288923
2017,3,335.8286961,399.881458
2017,4,347.33,412.0492343
2018,1,346.4858633,407.4374287
2018,2,349.1174538,406.1726314
2018,3,343.2848503,398.2423868
2018,4,359.2961981,417.0568267
2019,1,350.1225981,405.0510832
2019,2,357.0689828,408.1949709
2019,3,345.0900116,393.4221921
2019,4,356.5125251,405.580546
2020,1,336.0009349,380.6493288
2020,2,259.1211332,295.1475052
2020,3,244.7105014,275.6147801
2020,4,260.6724669,292.9190005
2021,1,260.2012114,289.2850882
2021,2,299.7865023,325.6749031
2021,3,314.0729744,335.8187247
2021,4,327.1371326,344.5578516
2022,1,328.493121,338.2619575
2022,2,397.1605938,397.1605938